,RANK_2025,SIZE,RES.,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_per_Faculty_Score,International_Faculty_Score,International_Students_Score,International_Research_Network_Score,Employment_Outcomes_Score,Sustainability_Score
0,1,2,4,100.0,100.0,100.0,100.0,99.3,86.8,96.0,100.0,99.0
1,2,3,4,98.5,99.5,98.2,93.9,100.0,99.6,97.4,93.4,99.7
2,3,3,4,100.0,100.0,100.0,84.8,98.1,97.7,100.0,100.0,85.0
3,4,3,4,100.0,100.0,96.3,100.0,74.1,69.0,99.6,100.0,84.4
4,5,3,4,100.0,100.0,100.0,84.6,100.0,94.8,99.3,100.0,84.8
5,6,3,4,100.0,100.0,100.0,99.0,70.3,60.8,96.8,100.0,81.2
6,7,3,4,98.8,87.2,65.9,97.9,100.0,98.6,95.7,90.5,98.8
7,8,4,4,99.5,91.1,68.8,93.1,100.0,88.9,91.6,100.0,97.7
8,9,4,4,99.5,98.3,95.9,72.2,99.0,100.0,99.9,70.3,74.8
9,10,1,4,96.5,95.3,100.0,100.0,100.0,79.8,65.5,31.0,62.5
10,11,3,4,96.3,91.9,99.8,74.0,90.9,66.2,91.9,100.0,93.0
11,12,4,4,100.0,100.0,23.5,98.2,91.5,61.0,97.2,98.4,100.0
12,13,4,4,98.5,93.9,15.4,93.0,95.1,99.8,97.4,96.5,99.6
13,14,4,4,99.5,96.6,92.6,97.7,50.3,23.6,79.8,94.2,46.9
14,15,3,4,91.9,73.3,80.6,92.4,100.0,83.5,89.4,83.9,95.6
15,16,3,4,98.3,93.1,52.7,97.5,54.2,63.4,94.0,97.1,72.1
16,17,3,4,97.4,59.4,81.2,86.4,100.0,99.3,81.4,99.7,89.2
17,18,4,4,96.4,90.0,10.9,93.7,99.9,100.0,95.8,93.1,99.6
18,19,4,4,90.5,90.4,20.6,94.9,100.0,99.4,98.3,97.7,99.2
19,20,4,4,99.2,97.7,95.0,99.1,18.1,13.4,79.2,92.3,40.4
20,21,3,4,99.1,96.4,94.2,60.8,79.0,87.0,85.1,99.1,46.9
21,22,2,4,99.8,98.3,57.0,100.0,9.6,56.6,78.3,95.7,51.5
22,23,3,4,99.9,99.9,100.0,38.6,91.5,63.3,93.9,98.5,92.2
23,24,3,4,74.4,97.6,98.1,87.6,62.3,65.0,99.8,97.1,73.4
24,25,4,4,99.7,96.9,44.9,50.8,96.9,96.1,97.7,98.7,100.0
25,26,2,4,84.2,67.2,91.2,93.6,100.0,100.0,81.7,27.2,86.7
26,27,4,4,98.3,97.2,65.5,47.7,98.7,99.8,99.5,55.9,99.0
27,28,4,4,83.0,98.6,76.8,75.9,80.4,98.6,95.6,34.5,93.1
28,29,3,4,94.3,87.6,62.3,57.9,83.7,89.6,94.2,98.3,99.1
29,30,3,4,93.8,75.4,34.6,84.6,100.0,96.2,91.4,56.6,97.1
30,31,3,4,98.5,98.6,83.1,71.7,10.5,16.9,73.2,100.0,96.0
31,32,3,4,86.0,62.6,100.0,84.2,63.7,95.8,98.7,71.5,61.9
32,32,3,4,100.0,99.8,89.3,57.3,10.1,29.7,87.4,99.9,98.3
33,34,4,4,99.6,98.8,100.0,31.7,41.5,97.0,98.5,99.9,71.8
34,34,4,4,95.6,98.1,51.3,45.1,93.1,99.2,99.2,87.6,99.8
35,36,3,4,86.7,53.3,64.2,92.9,100.0,87.5,74.2,89.0,86.7
36,37,4,4,89.2,79.6,9.4,87.6,100.0,100.0,94.8,79.4,98.2
37,38,4,4,98.3,94.3,34.5,57.7,95.5,72.8,96.2,74.6,99.8
38,39,4,4,85.7,87.8,79.7,80.7,88.4,35.1,67.2,64.4,82.7
39,40,4,4,90.3,85.7,64.3,53.6,99.1,99.5,98.6,59.8,96.2
40,40,4,4,86.7,74.0,21.2,90.2,100.0,100.0,96.7,56.7,96.7
41,42,4,4,100.0,99.8,35.4,74.0,42.2,22.3,95.5,94.7,67.1
42,43,4,4,96.3,98.8,90.5,28.6,30.2,98.1,92.6,98.4,95.4
43,44,4,4,97.9,92.1,80.3,47.6,65.5,39.2,95.8,94.5,62.2
44,45,4,4,84.0,86.3,58.6,99.6,23.1,19.6,73.7,73.5,80.3
45,46,2,4,44.7,99.6,95.9,86.1,99.1,98.0,89.6,97.7,54.8
46,47,2,4,81.1,50.3,56.7,99.7,100.0,95.4,46.7,65.4,77.6
47,47,4,4,75.3,95.4,54.7,99.5,95.0,15.9,91.8,55.5,30.7
48,49,3,4,74.4,83.0,39.4,79.7,100.0,91.4,93.7,54.8,99.1
49,50,3,4,98.8,99.0,94.2,39.3,15.9,19.0,85.7,72.8,85.2
50,50,3,4,84.0,68.0,97.6,67.7,45.4,52.0,89.4,96.8,55.4
51,50,3,4,67.2,97.0,35.1,69.4,100.0,100.0,81.2,99.6,91.3
52,53,2,4,87.7,91.0,60.2,96.2,21.1,10.9,46.8,63.3,60.3
53,54,3,4,75.8,82.5,36.7,75.9,87.5,89.8,94.6,51.2,98.9
54,55,4,4,83.8,52.1,21.4,92.2,96.0,87.5,96.3,79.8,38.2
55,56,3,4,81.5,97.0,84.2,44.1,20.7,51.2,78.7,87.8,88.9
56,57,3,4,68.0,35.6,65.0,94.9,100.0,91.9,78.9,64.5,77.4
57,58,3,4,69.8,80.1,40.9,98.9,33.7,99.1,79.9,61.5,24.5
58,59,4,4,92.2,86.6,38.5,50.0,75.1,37.6,95.5,66.9,62.2
59,60,3,4,82.9,95.1,75.7,29.1,60.2,64.2,91.8,69.3,83.6
60,61,3,4,86.0,74.7,100.0,35.1,16.3,61.0,93.3,85.5,75.0
61,62,2,4,60.9,30.8,89.5,100.0,100.0,100.0,62.9,37.5,72.9
62,63,4,4,84.6,49.6,7.1,91.0,93.8,47.7,99.5,75.3,51.2
63,63,4,4,87.2,52.0,43.0,72.3,33.8,46.7,99.8,79.7,87.6
64,65,4,4,82.2,44.7,15.5,66.9,100.0,84.0,87.4,92.9,99.7
65,66,4,4,93.5,86.6,8.1,76.7,6.1,11.7,91.7,81.7,52.1
66,67,3,4,78.2,93.8,73.0,45.0,15.2,45.7,65.7,89.0,85.2
67,68,4,4,93.4,92.1,25.5,44.3,16.7,27.4,71.5,99.9,90.0
68,69,3,4,72.2,86.4,35.5,37.7,98.1,99.1,94.2,65.7,89.7
69,69,4,4,83.9,75.7,6.4,77.5,14.0,56.3,90.4,81.7,65.0
70,71,4,4,94.1,94.1,71.7,1.6,63.9,64.6,73.4,99.8,51.8
71,72,4,4,89.3,57.8,50.8,67.0,54.6,44.3,95.5,21.7,44.3
72,73,4,4,60.7,99.1,99.8,35.0,35.7,58.6,98.6,70.8,72.6
73,74,3,4,45.2,55.6,62.3,86.1,92.0,65.9,91.1,62.4,94.8
74,75,3,4,68.3,52.5,55.5,44.6,97.4,73.4,96.7,86.5,99.6
75,76,4,4,81.9,55.5,28.6,78.8,11.0,32.8,95.6,68.7,66.5
76,77,3,4,55.5,41.8,13.1,98.8,100.0,99.8,94.2,78.0,50.8
77,78,4,4,77.4,67.7,38.0,32.5,95.7,99.4,97.6,33.5,98.5
78,79,2,4,59.9,49.6,77.7,76.4,79.9,50.9,83.2,63.6,46.6
79,80,4,4,68.9,69.0,39.0,40.5,92.6,89.3,97.5,44.5,96.8
80,80,3,4,50.1,44.3,40.7,83.4,92.5,98.0,97.1,49.2,96.9
81,82,3,4,56.0,38.9,17.9,87.0,100.0,99.3,93.6,51.5,95.7
82,82,4,4,70.5,75.9,36.4,39.8,82.5,88.5,98.8,50.9,71.8
83,84,3,4,76.9,59.4,99.4,32.7,54.2,53.6,94.5,25.2,77.6
84,84,2,4,75.1,94.1,84.1,43.1,23.4,30.5,61.2,23.7,62.2
85,86,3,4,82.4,87.0,45.2,54.9,23.9,12.2,68.2,33.0,68.0
