SIZE,RES.,Academic_Reputation_Score,Employer_Reputation_Score,Faculty_Student_Score,Citations_per_Faculty_Score,International_Faculty_Score,International_Students_Score,International_Research_Network_Score,Employment_Outcomes_Score,Sustainability_Score
M,VH,7.5,4.8,18.9,43.2,45.9,22.6,64.5,8.3,6.4
XL,VH,6.3,11.6,1.6,61.0,2.5,1.1,66.7,2.4,1.7
M,VH,4.0,6.3,3.0,13.7,2.1,23.8,30.9,5.2,2.7
L,VH,9.8,33.0,3.2,5.0,13.8,1.6,41.6,13.1,7.6
XL,VH,54.4,73.5,57.6,1.7,40.3,4.1,38.1,69.0,26.8
L,VH,13.6,15.9,29.6,12.0,,43.2,73.1,32.8,16.3
L,HI,6.1,4.3,13.8,4.3,2.5,1.8,45.8,12.0,2.9
XL,HI,37.1,79.1,57.0,1.5,58.0,6.7,40.3,18.9,16.3
S,VH,19.5,28.1,38.5,79.0,83.9,20.1,63.9,4.1,18.4
M,VH,42.4,63.2,20.3,70.3,3.9,1.6,37.5,27.0,44.6
L,VH,8.4,2.6,18.9,88.8,3.2,1.5,52.2,4.5,5.8
L,VH,14.4,14.5,11.1,51.7,64.0,14.3,64.9,16.3,11.8
M,VH,21.8,6.1,39.5,3.4,18.2,1.2,56.9,1.9,1.0
M,VH,6.6,5.7,18.6,2.4,3.1,3.8,19.2,13.0,1.0
L,HI,6.9,6.1,2.4,34.1,32.7,41.5,44.9,6.4,34.8
L,VH,27.0,13.7,8.4,62.5,99.8,38.5,92.1,17.9,96.4
M,HI,8.2,16.4,50.7,2.4,91.3,25.8,13.1,33.4,1.4
XL,HI,71.0,89.9,5.4,3.4,5.6,1.4,65.9,42.6,53.1
L,VH,62.3,29.1,59.4,49.6,73.4,5.7,96.9,90.5,94.5
L,HI,17.3,16.2,11.5,1.3,14.2,1.7,27.1,34.0,1.0
L,VH,23.2,37.1,82.1,15.1,14.3,53.4,54.5,13.8,80.5
L,VH,5.9,4.8,24.2,7.3,2.9,4.5,56.1,1.8,23.2
L,VH,33.5,56.3,49.5,4.1,64.8,52.3,66.3,20.7,68.3
XL,VH,7.4,11.0,4.9,14.9,6.6,2.0,92.9,16.7,28.4
L,VH,5.1,1.4,53.6,31.8,1.5,2.7,67.0,1.4,4.0
L,VH,98.8,87.2,65.9,97.9,100.0,98.6,95.7,90.5,98.8
L,VH,28.7,21.8,15.9,23.9,25.3,57.0,86.3,48.7,38.2
M,VH,8.0,4.5,5.2,57.3,85.6,73.9,74.9,14.8,11.3
XL,VH,9.5,6.7,7.8,12.9,8.6,3.8,52.3,18.8,52.8
XL,VH,76.6,64.5,25.0,55.4,25.1,28.0,97.9,61.9,96.5
L,VH,14.9,12.6,32.1,3.9,5.0,8.4,54.3,12.0,9.3
XL,VH,99.5,96.6,92.6,97.7,50.3,23.6,79.8,94.2,46.9
L,HI,7.6,2.6,53.2,4.9,3.1,5.3,81.3,3.1,1.7
M,VH,4.5,8.4,9.3,5.5,23.6,18.8,25.8,4.0,1.1
M,HI,2.2,3.5,31.9,3.0,3.2,12.0,7.6,8.1,1.0
M,VH,3.5,1.9,85.8,4.7,4.0,3.2,8.7,1.9,1.0
L,HI,3.3,2.5,3.9,21.0,7.3,38.3,39.1,4.1,44.6
L,VH,74.4,83.0,39.4,79.7,100.0,91.4,93.7,54.8,99.1
L,VH,8.7,12.1,21.3,1.5,35.5,6.5,10.0,5.7,1.5
XL,VH,10.0,20.3,5.3,11.9,5.3,2.5,54.9,10.7,6.7
XL,VH,7.7,2.7,7.3,1.4,,,13.6,1.5,1.1
